ID,Title,Type,Description,Release_year,Genres,Imdb_Score,Streaming_Platform
tm22806,Intolerance: Love's Struggle Throughout the Ages,MOVIE,"The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.",1916,"['history', 'drama']",7.7,Amazon Prime
tm88001,The Stranger,MOVIE,A man working for the War Crimes Commission suspects that an important Nazi official has folded himself into a quaint Connecticut town.,1946,"['thriller', 'crime', 'drama']",7.3,Amazon Prime
tm141715,The Phantom of the Opera,MOVIE,"A grotesquely disfigured composer known as ""The Phantom"" haunts Paris' opera house, where he's secretly grooming Christine Daae to be an opera diva. Luring her to his remote underground lair, The Phantom declares his love. But Christine loves Raoul de Chagny and plans to elope with him. When The Phantom learns this, he abducts Christine.",1925,['horror'],7.5,Amazon Prime
tm112415,Tell Your Children,MOVIE,"High-school principal Dr. Alfred Carroll relates to an audience of parents that marijuana can have devastating effects on teens: a drug supplier entices several restless teens, Mary and Jimmy Lane, sister and brother, and Bill, Mary's boyfriend, into frequenting a reefer house. Gradually, Bill and Jimmy are drawn into smoking dope, which affects their family lives.",1938,"['drama', 'crime']",3.7,Amazon Prime
tm2838,The Most Dangerous Game,MOVIE,"When legendary hunter Bob Rainsford is shipwrecked on the perilous reefs surrounding a mysterious island, he finds himself the guest of the reclusive and eccentric Count Zaroff. While he is very gracious at first, Zaroff eventually forces Rainsford and two other shipwreck survivors, brother and sister Eve and Martin Towbridge, to participate in a sadistic game of cat and mouse in which they are the prey and he is the hunter.",1932,"['thriller', 'horror', 'action']",7.1,Amazon Prime
tm155610,Wuthering Heights,MOVIE,"The Earnshaws are Yorkshire farmers during the early 19th Century. One day, Mr. Earnshaw returns from a trip to the city, bringing with him a ragged little boy called Heathcliff. Earnshaw's son, Hindley, resents the child, but Heathcliff becomes companion and soulmate to Hindley's sister, Catherine. After her parents die, Cathy and Heathcliff grow up wild and free on the moors and despite the continued enmity between Hindley and Heathcliff they're happy -- until Cathy meets Edgar Linton, the son of a wealthy neighbor.",1939,"['drama', 'romance']",7.5,Amazon Prime
tm3781,The Woman in the Window,MOVIE,A seductive woman gets an innocent professor mixed up in murder.,1944,"['drama', 'thriller', 'crime']",7.6,Amazon Prime
tm3541,"Steamboat Bill, Jr.",MOVIE,The just out of college effete son of a no-nonsense steamboat captain comes to visit his father whom he's not seen since he was little.,1928,"['drama', 'romance', 'family', 'action', 'comedy']",7.8,Amazon Prime
tm82560,The Little Foxes,MOVIE,"The ruthless, moneyed Hubbard clan lives in, and poisons, their part of the deep South at the turn of the 20th century. Regina Giddons née Hubbard has her daughter under her thumb. Mrs. Giddons is estranged from her husband, who is convalescing in Baltimore and suffers from a terminal illness. But she needs him home, and will manipulate her daughter to help bring him back. She has a sneaky business deal that she's cooking up with her two elder brothers, Oscar and Ben. Oscar has a flighty, unhappy wife and a dishonest worm of a son. Will the daughter have to marry this contemptible cousin? Who will she grow up to be - her mother or her aunt? Or can she escape the fate of both?",1941,"['romance', 'drama']",7.9,Amazon Prime
tm64852,Stella Dallas,MOVIE,"After divorcing a society man, a small-town woman tries to build a better life for their daughter.",1937,"['drama', 'romance']",7.4,Amazon Prime
